AMI ID,Camera ID,Latitude,Longitude,Single-board computer,Power,images_folder
Butterfly,4C2B89AF,9.937355,-84.050435,Raspberry Pi,Battery + Solar panel,
Forest Edge,EC4AB109,10.43034,-84.007262,Raspberry Pi,Battery + Solar panel,
Swamp,5794FB2E,10.432685,-84.008057,Raspberry Pi,Battery + Solar panel,
Old Growth,E601A49B,10.432295,-84.010643,Raspberry Pi,Battery + Solar panel,
Dry Forest,1C5084E2,10.34498,-85.339332,Raspberry Pi,Battery + Solar panel,
Wetland,DC049A28,10.34384,-85.33845,Raspberry Pi,Battery + Solar panel,
Garden,3F1C4908,8.78514,-82.960373,Raspberry Pi,Battery + Solar panel,
Pre-montane forest,961AC5EB,8.783784,-82.960928,Raspberry Pi,Battery + Solar panel,
Station,04EC1D6F,8.404135,-83.336879,Raspberry Pi,Battery + Solar panel,
Restoration,D23BAE61,8.409125,-83.349612,Raspberry Pi,Battery + Solar panel,
